EVENT,MATCH_PATTERN,PATTERN_REGEX,REGEX_GROUP_0,REGEX_GROUP_1,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL,FILE_NAME
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+0 DIAS UTEISPAGAMENTO,D+0 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84161_132370_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:40.563142+0000,DOC_REGUL_84161_132370_2025_04.pdf,
NOME_FUNDO,XP_1,(?i)instrumento\s*particular\s*de\s*altera..o\s*do\s*regulamento\s*d[o|a]\s*([^*]+?)\s*cnpj,INSTRUMENTO PARTICULAR DE ALTERACAO DO REGULAMENTO DO TREND PE XXVII FUNDO DE INVESTIMENTO EM COTAS RENDA FIXA SIMPLES RESPONSABILIDADE LIMITADACNPJ,TREND PE XXVII FUNDO DE INVESTIMENTO EM COTAS RENDA FIXA SIMPLES RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84161_132370_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:40.563142+0000,DOC_REGUL_84161_132370_2025_04.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOSDIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOSDIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84161_132370_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:40.563142+0000,DOC_REGUL_84161_132370_2025_04.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,CNPJ NO 45.756.554/0001-51 (FUNDO,45.756.554/0001-51,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
CONVERSAO_COTA,BTG_3,(?i)(convers.o\s*[^*]+?);,"CONVERSAO E PAGAMENTO DAS COTAS NO RESGATE DE COTAS DO FUNDO. NESTE SENTIDO, O REGULAMENTO DO FUNDO E O ANEXO I, INTEGRALMENTE ALTERADO, PASSARAO A VIGORAR NOS EXATOS TERMOS DO ANEXO A PRESENTE ATA;","CONVERSAO E PAGAMENTO DAS COTAS NO RESGATE DE COTAS DO FUNDO. NESTE SENTIDO, O REGULAMENTO DO FUNDO E O ANEXO I, INTEGRALMENTE ALTERADO, PASSARAO A VIGORAR NOS EXATOS TERMOS DO ANEXO A PRESENTE ATA",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
NOME_FUNDO,XP_2,(?i)ata\s*da\s*assembl[e|e]ia\s*geral\s*extraordin.ria\s*d[o|a]\s*([^*]+?)\s*cnpj,ATA DA ASSEMBLEIA GERAL EXTRAORDINARIA DO LISBOA PREV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADACNPJ,LISBOA PREV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_67276_130281_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:19:50.998329+0000,DOC_REGUL_67276_130281_2025_04.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,"CNPJ NO 43.423.186/0001-02I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO DO FUNDO","43.423.186/0001-02I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO D",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+7 DIAS UTEIS PAGAMENTO,D+7 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
NOME_FUNDO,XP_2,(?i)ata\s*da\s*assembl[e|e]ia\s*geral\s*extraordin.ria\s*d[o|a]\s*([^*]+?)\s*cnpj,ATA DA ASSEMBLEIA GERAL EXTRAORDINARIA DO RIZA LOTUS PREV XP SEG FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADACNPJ,RIZA LOTUS PREV XP SEG FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51333_135530_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:01.734520+0000,DOC_REGUL_51333_135530_2025_05.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,"CNPJ NO 43.636.010/0001-20I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO DO FUNDO","43.636.010/0001-20I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO D",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+6 DIAS UTEIS PAGAMENTO,D+6 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
NOME_FUNDO,XP_2,(?i)ata\s*da\s*assembl[e|e]ia\s*geral\s*extraordin.ria\s*d[o|a]\s*([^*]+?)\s*cnpj,ATA DA ASSEMBLEIA GERAL EXTRAORDINARIA DO XP CORPORATE TOP CREDITO PRIVADO XP SEG PREV FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA CNPJ,XP CORPORATE TOP CREDITO PRIVADO XP SEG PREV FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_51492_133349_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:12.182418+0000,DOC_REGUL_51492_133349_2025_05.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
CNPJ,XP_1,(?i)cnpj/mf\s*n\s*.\s*([^*]+?)\s+.{17},CNPJ/MF NO 39.977.487/0001-00PELO PRESENTE INSTRUME,39.977.487/0001-00PELO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+7 DIAS CORRIDOSPAGAMENTO,D+7 DIAS CORRIDOS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
NOME_FUNDO,XP_1,(?i)instrumento\s*particular\s*de\s*altera..o\s*do\s*regulamento\s*d[o|a]\s*([^*]+?)\s*cnpj,INSTRUMENTO PARTICULAR DE ALTERACAO DO REGULAMENTO DO WIT KAPTA FUNDO DE INVESTIMENTO EM ACOESCNPJ,WIT KAPTA FUNDO DE INVESTIMENTO EM ACOES,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46550_133925_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:22.529548+0000,DOC_REGUL_46550_133925_2025_05.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,CNPJ NO 44.748.957/0001-96 (FUNDO,44.748.957/0001-96,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+21 DIAS UTEIS PAGAMENTO,D+21 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
NOME_FUNDO,XP_2,(?i)ata\s*da\s*assembl[e|e]ia\s*geral\s*extraordin.ria\s*d[o|a]\s*([^*]+?)\s*cnpj,ATA DA ASSEMBLEIA GERAL EXTRAORDINARIA DO VISTA MACRO XP SEG PREVIDENCIARIO FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADACNPJ,VISTA MACRO XP SEG PREVIDENCIARIO FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53049_133997_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:33.008167+0000,DOC_REGUL_53049_133997_2025_05.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
CNPJ,XP_1,(?i)cnpj/mf\s*n\s*.\s*([^*]+?)\s+.{17},CNPJ/MF NO 57.324.104/0001-79(FUNDO)PELO PRESENTE INSTRUME,57.324.104/0001-79(FUNDO)PELO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:FECHADOPRAZO,FECHADO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+0 DIAS UTEISPAGAMENTO,D+0 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
NOME_FUNDO,XP_1,(?i)instrumento\s*particular\s*de\s*altera..o\s*do\s*regulamento\s*d[o|a]\s*([^*]+?)\s*cnpj,INSTRUMENTO PARTICULAR DE ALTERACAO DO REGULAMENTO DO NX ALL WEATHER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADACNPJ,NX ALL WEATHER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_84128_130924_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:43.544207+0000,DOC_REGUL_84128_130924_2025_04.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,"CNPJ NO 41.035.989/0001-56I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO DO FUNDO","41.035.989/0001-56I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO D",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+20 DIAS UTEISPAGAMENTO,D+20 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
NOME_FUNDO,XP_2,(?i)ata\s*da\s*assembl[e|e]ia\s*geral\s*extraordin.ria\s*d[o|a]\s*([^*]+?)\s*cnpj,ATA DA ASSEMBLEIA GERAL EXTRAORDINARIA DO REAL INVESTOR 100 XP SEG ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE ACOES RESPONSABILIDADE LIMITADACNPJ,REAL INVESTOR 100 XP SEG ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE ACOES RESPONSABILIDADE LIMITADA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47648_135279_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:20:53.987167+0000,DOC_REGUL_47648_135279_2025_05.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47356_134626_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:21:04.535356+0000,DOC_REGUL_47356_134626_2025_05.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,"CNPJ NO 40.799.759/0001-09I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO DO FUNDO","40.799.759/0001-09I. DATA, HORA E LOCAL: REALIZADA, POR MEIO DE CONSULTA FORMAL, EXCLUSIVAMENTE DE FORMA ELETRONICA E REMOTA, NOS TERMOS DO REGULAMENTO D",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47356_134626_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:21:04.535356+0000,DOC_REGUL_47356_134626_2025_05.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_47356_134626_2025_05.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:21:04.535356+0000,DOC_REGUL_47356_134626_2025_05.pdf,
